COMPAÑÍA_SV,Cliente,Unidad,Servicio,Personal_Real,Personal_Estimado,Personal_Base,Factor_Promedio,Descanseros_Total,Porcentaje_Cobertura_Total,Cobertura_Diferencial,Eficiencia_Asignacion,Personal_Faltante,Personal_Sobrante,Estado_Asignacion
J&V Resguardo S.A.C.,102591,8356,16,3,2.67,2,0.16666666666666666,0.3333333333333333,112.36,0.33000000000000007,89.0,0.0,0.33000000000000007,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,59493,9515,42,1,1.33,1,0.16666666666666666,0.16666666666666666,75.19,-0.33000000000000007,100.0,0.33000000000000007,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,92505,19684,95,2,2.67,2,0.16666666666666666,0.3333333333333333,74.91,-0.6699999999999999,100.0,0.6699999999999999,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,7242,17403,41,1,1.33,1,0.16666666666666666,0.16666666666666666,75.19,-0.33000000000000007,100.0,0.33000000000000007,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,23649,17611,895,1,1.0,1,0.0,0.0,100.0,0.0,100.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,71436,9696,20,1,1.0,1,0.0,0.0,100.0,0.0,100.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,23085,15117,41,1,1.33,1,0.16666666666666666,0.16666666666666666,75.19,-0.33000000000000007,100.0,0.33000000000000007,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,113623,10973,165,3,2.67,2,0.16666666666666666,0.3333333333333333,112.36,0.33000000000000007,89.0,0.0,0.33000000000000007,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,144638,25979,F93,0,2.0,1,0.5,0.5,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,80843,26657,097,0,2.67,2,0.16666666666666666,0.3333333333333333,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,129915,20434,95,7,8.0,6,0.16666666666666666,1.0,87.5,-1.0,100.0,1.0,0.0,FALTA_LEVE
Liderman Servicios S.A.C.,23099,26302,F36,3,4.0,3,0.16666666666666666,0.5,75.0,-1.0,100.0,1.0,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,56948,1473,41,2,1.33,1,0.16666666666666666,0.16666666666666666,150.38,0.6699999999999999,66.5,0.0,0.6699999999999999,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,79127,2952,165,3,4.0,2,0.5,1.0,75.0,-1.0,100.0,1.0,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,124672,17667,885,20,9.33,7,0.16666666666666666,1.1666666666666665,214.36,10.67,46.65,0.0,10.67,SOBRECARGA
J&V Resguardo S.A.C.,22949,17481,D85,1,1.0,1,0.0,0.0,100.0,0.0,100.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,22949,17482,95,14,16.0,12,0.16666666666666666,2.0,87.5,-2.0,100.0,2.0,0.0,FALTA_LEVE
Liderman Servicios S.A.C.,112043,10046,M58,1,1.33,1,0.16666666666666666,0.16666666666666666,75.19,-0.33000000000000007,100.0,0.33000000000000007,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,7139,26316,J00,1,1.0,1,0.0,0.0,100.0,0.0,100.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,62594,19574,452,1,2.0,1,0.5,0.5,50.0,-1.0,100.0,1.0,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,117232,11009,374,12,9.0,3,1.0,3.0,133.33,3.0,75.0,0.0,3.0,SOBRECARGA
J&V Resguardo S.A.C.,80002,23000,48,1,1.0,1,0.0,0.0,100.0,0.0,100.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,10864,847,60,3,3.0,3,0.0,0.0,100.0,0.0,100.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,7139,23450,100,1,1.0,1,0.0,0.0,100.0,0.0,100.0,0.0,0.0,EXACTO
Liderman Servicios S.A.C.,163894,23481,L39,1,1.33,1,0.16666666666666666,0.16666666666666666,75.19,-0.33000000000000007,100.0,0.33000000000000007,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,75598,2578,106,2,2.67,2,0.16666666666666666,0.3333333333333333,74.91,-0.6699999999999999,100.0,0.6699999999999999,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,62007,22385,41,1,1.33,1,0.16666666666666666,0.16666666666666666,75.19,-0.33000000000000007,100.0,0.33000000000000007,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,119803,21144,J78,2,2.67,2,0.16666666666666666,0.3333333333333333,74.91,-0.6699999999999999,100.0,0.6699999999999999,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,117232,11010,975,2,6.0,2,1.0,2.0,33.33,-4.0,100.0,4.0,0.0,FALTA
