COD CLIENTE,COD UNID,COD SERVICIO,F. Inicio,Fecha Fin,Requeridos_sum,PersonalEstimado_sum,COMPAÑÍA,CLIENTE,UNIDAD,SERVICIO,Lider Zonal,Zona,macro zona,Personal_Real,Total_Registros,COMPAÑÍA_ASIG,CLIENTE_ASIG,UNIDAD_ASIG,SERVICIO_ASIG,Registros_Duplicados,CLIENTE_FINAL,UNIDAD_FINAL,SERVICIO_FINAL
134341,15689,95,2022-05-01,2099-12-31,2,2.3333333333333335,J&V Resguardo Selva S.A.C.,TRANSBER S.A.C.,TRANSBER IQUITOS,AGENTE SEGURIDAD 24 HRS L/D,LUIS FARFAN,REGION IQUITOS,REGION ORIENTE,3,3,J&V Resguardo Selva SAC,TRANSBER S.A.C.,Transber Iquitos,AGENTE SEGURIDAD 24 HRS L/D,0,TRANSBER S.A.C.,TRANSBER IQUITOS,AGENTE SEGURIDAD 24 HRS L/D
106668,9072,42,2023-12-01,2099-12-31,1,1.1666666666666667,J&V Resguardo S.A.C.,OPERACIONES FUNERARIAS S.A. OFSA,OFSA LOCAL LA MOLINA,AGENTE SEGURIDAD 12 HRS L/D NOCHE,HERNAN QUISPE,ZONA S6,ZONA SUR,1,1,J&V Resguardo S.A.C.,OPERACIONES FUNERARIAS S.A. OFSA,OFSA Local La Molina,AGENTE SEGURIDAD 12 HRS L/D NOCHE,0,OPERACIONES FUNERARIAS S.A. OFSA,OFSA LOCAL LA MOLINA,AGENTE SEGURIDAD 12 HRS L/D NOCHE
54550,25972,F35,2024-09-16,2099-12-31,1,1.1666666666666667,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS ZORRITOS PARKING,AGENTE PARKING 08 HRS L/D TARDE,ANDRES ALALUNA,ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY,1,1,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,Tottus Zorritos Parking,AGENTE PARKING 08 HRS L/D TARDE,0,HIPERMERCADOS TOTTUS S.A.,TOTTUS ZORRITOS PARKING,AGENTE PARKING 08 HRS L/D TARDE
134403,17628,95,2019-09-03,2099-12-31,2,2.3333333333333335,J&V Resguardo S.A.C.,INTRADEVCO INDUSTRIAL S.A.,INTRADEVCO CHORRILLOS PLANTA DESTILERIA,AGENTE SEGURIDAD 24 HRS L/D,WILMAR SALAS,ZONA S4,ZONA SUR,2,2,J&V Resguardo S.A.C.,INTRADEVCO INDUSTRIAL S.A.,Intradevco Chorrillos Planta Destileria,AGENTE SEGURIDAD 24 HRS L/D,0,INTRADEVCO INDUSTRIAL S.A.,INTRADEVCO CHORRILLOS PLANTA DESTILERIA,AGENTE SEGURIDAD 24 HRS L/D
121313,12465,48,2022-05-01,2099-12-31,2,2.0,J&V Resguardo S.A.C.,QUIMTIA S.A.,QUIMTIA DISTRIBUCIÓN LURÍN,AGENTE SEGURIDAD 12 HRS L/S DÍA,FERNANDO YUCRA,ZONA S7,ZONA SUR,2,2,J&V Resguardo S.A.C.,QUIMTIA S.A.,Quimtia Distribución Lurín,AGENTE SEGURIDAD 12 HRS L/S DÍA,0,QUIMTIA S.A.,QUIMTIA DISTRIBUCIÓN LURÍN,AGENTE SEGURIDAD 12 HRS L/S DÍA
56498,2216,95,2009-08-30,2099-12-31,2,2.3333333333333335,J&V Resguardo S.A.C.,TEJIDOS SAN JACINTO S.A.,SAN JACINTO LOCAL LURÍN,AGENTE SEGURIDAD 24 HRS L/D,FERNANDO YUCRA,ZONA S7,ZONA SUR,3,3,J&V Resguardo S.A.C.,TEJIDOS SAN JACINTO S.A.,San Jacinto Local Lurín,AGENTE SEGURIDAD 24 HRS L/D,0,TEJIDOS SAN JACINTO S.A.,SAN JACINTO LOCAL LURÍN,AGENTE SEGURIDAD 24 HRS L/D
54550,23333,F35,2024-06-24,2099-12-31,1,1.1666666666666667,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,TOTTUS SEDE PUENTE PIEDRA PARKING,AGENTE PARKING 08 HRS L/D TARDE,ANDRES ALALUNA,ZONA PD2,ZONA PARKING Y DELIVERY,3,3,Liderman Servicios S.A.C.,HIPERMERCADOS TOTTUS S.A.,Tottus Sede Puente Piedra Parking,AGENTE PARKING 08 HRS L/D TARDE,0,HIPERMERCADOS TOTTUS S.A.,TOTTUS SEDE PUENTE PIEDRA PARKING,AGENTE PARKING 08 HRS L/D TARDE
23649,19347,95,2020-11-01,2099-12-31,2,2.3333333333333335,J&V Resguardo S.A.C.,LECHE GLORIA SOCIEDAD ANONIMA - GLORIA S.A.,ALMACÉN CHIMBOTE LOS PESCADORES,AGENTE SEGURIDAD 24 HRS L/D,MIGUEL ROMERO,REGION CHIMBOTE,REGION NORTE,2,2,J&V Resguardo S.A.C.,LECHE GLORIA SOCIEDAD ANONIMA - GLORIA S.A.,Almacén Chimbote Los Pescadores,AGENTE SEGURIDAD 24 HRS L/D,0,LECHE GLORIA SOCIEDAD ANONIMA - GLORIA S.A.,ALMACÉN CHIMBOTE LOS PESCADORES,AGENTE SEGURIDAD 24 HRS L/D
63449,3307,95,2012-01-01,2099-12-31,2,2.3333333333333335,J&V Resguardo S.A.C.,DISTRIBUIDORA FARMACEUTICA LA LIBERTAD S.A.C. - DI,DIFARLIB RESIDENCIA TRUJILLO,AGENTE SEGURIDAD 24 HRS L/D,JAN INGA,REGION TRUJILLO,REGION NORTE,3,3,J&V Resguardo S.A.C.,DISTRIBUIDORA FARMACEUTICA LA LIBERTAD S.A.C. - DIFARLIB S.A.C.,Difarlib Residencia Trujillo,AGENTE SEGURIDAD 24 HRS L/D,0,DISTRIBUIDORA FARMACEUTICA LA LIBERTAD S.A.C. - DI,DIFARLIB RESIDENCIA TRUJILLO,AGENTE SEGURIDAD 24 HRS L/D
60776,25728,26,2024-08-01,2099-12-31,1,1.0,J&V Resguardo S.A.C.,HERMES TRANSPORTES BLINDADOS  S A,BN - CAJAMARCA - CATACHE MUNICIPALIDAD,AGENTE SEGURIDAD 10 HRS L/S DIA,DARCY SAMILLAN,REGION CHICLAYO,REGION NORTE,1,1,J&V Resguardo S.A.C.,HERMES TRANSPORTES BLINDADOS  S A,BN - Cajamarca - Catache Municipalidad,AGENTE SEGURIDAD 10 HRS L/S DIA,0,HERMES TRANSPORTES BLINDADOS  S A,BN - CAJAMARCA - CATACHE MUNICIPALIDAD,AGENTE SEGURIDAD 10 HRS L/S DIA
