Compañía,NOMBRE_CLIENTE,Cliente,NOMBRE_UNIDAD,Unidad,NOMBRE_SERVICIO,Servicio,Grupo,NOMBRE_GRUPO,MACROZONA,ZONA,Fecha_Inicio_Min,Fecha_Fin_Max,Personal_Real,Personal_Estimado,Personal_Base,Factor_Promedio,Descanseros_Total,Cobertura_Total_Pct,Cobertura_Diferencial,Personal_Faltante,Personal_Sobrante,Estado_Asignacion
J&V Resguardo S.A.C.,EMPRESA SIDERURGICA DEL PERU S.A.A.,56951,Sider Planta Chimbote (Tareo),12888,INSPECTOR DE MUELLE 24 HRS L/D,B22,"","",REGION NORTE,REGION CHIMBOTE,2018-05-01,2099-12-31,3,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,128.57,0.67,0.0,0.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,MINERA BOROO MISQUICHILCA S.A.,134103,Minera Barrick Lagunas Norte,15640,AGENTE SEGURIDAD 12 HRS L/D NOCHE,42,"","",REGION NORTE,REGION TRUJILLO,2025-01-01,2099-12-31,2,6.0,4,0.5,2.0,33.33,-4.0,4.0,0.0,FALTA
J&V Resguardo S.A.C.,ORYGEN PERU S.A.A.,65770,Enel Gener. Talleres Moyopampa,20312,SUPERVISOR SEGURIDAD 24 HRS L/D,165,0124,GRUPO ENEL,ZONA CENTRO,ZONA C1,2025-05-01,2099-12-31,2,2.8,2,0.16666666666666666,0.8,71.43,-0.8,0.8,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PER",62594,Southern Perú Michiquillay,22983,OPERADOR CENTRAL DE EMERGENCIAS 08 HRS L/D (TARDE),L94,"","",REGION NORTE,REGION CAJAMARCA,2025-05-01,2099-12-31,1,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,85.71,-0.17,0.17,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,APM TERMINALS CALLAO SOCIEDAD ANONIMA,78042,Serv. Adic. APM Control Carga,24862,CONTROLADOR DE RIESGO 12 HRS L/D NOCHE,561,"","",ZONA NORTE,ZONA N6,2024-04-01,2099-12-31,2,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,171.43,0.83,0.0,0.83,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,BLUE MARLIN BEACH CLUB S.A.,57387,Radisson Miraflores,4689,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA CENTRO,ZONA C10,2013-12-01,2099-12-31,3,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,128.57,0.67,0.0,0.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,LECHE GLORIA SOCIEDAD ANONIMA - GLORIA S.A.,23649,Planta Arequipa,352,COORDINADOR 12 HRS L/S DIA,446,0002,GRUPO GLORIA,REGION SUR,REGION AREQUIPA,2019-07-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
Liderman Servicios S.A.C.,SMARTFIT PERU S.A.C.,160980,Smartfit Sede Trujillo,26688,AGENTE PARKING 09 HRS L/S DÍA,M57,"","",ZONA PARKING Y DELIVERY,ZONA PARKING Y DELIVERY,2025-05-26,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,FERNANDINI BARREDA RICARDO FEDERICO,97718,Notaría Fernandini San Isidro,7877,AGENTE SEGURIDAD 12 HRS L/V (DÍA),53,"","",ZONA CENTRO,ZONA C6,2020-05-01,2099-12-31,2,1.0,1,0.0,0.0,200.0,1.0,0.0,1.0,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,CALIZA CEMENTO INCA S.A.,156823,Caliza Cemento Inca Sede Cajamarquilla,22615,AGENTE SEGURIDAD 12 HRS L/S DÍA,48,"","",ZONA CENTRO,ZONA C3,2022-12-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,SOCIEDAD MINERA EL BROCAL S.A.A.,8601,SMEB Mina Huaraucaca,8307,AGENTE SEGURIDAD 12 HRS L/D NOCHE,42,"","",REGION CENTRO,REGION PASCO,2020-05-01,2099-12-31,0,1.5,1,0.5,0.5,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,OPERADORA DE TERMINALES DEL PACIFICO S.A.C.,223108,OTP Planta Mollendo,26462,OPERADOR CCTV 12 HRS L/D NOCHE,E01,"","",REGION SUR,REGION AREQUIPA,2025-01-01,2099-12-31,1,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,85.71,-0.17,0.17,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,INTRADEVCO INDUSTRIAL S.A.,134403,Intradevco Planta Ventanilla,15737,JEFE DE GRUPO 24 HRS L/D,106,0071,GRUPO ROMERO,ZONA NORTE,ZONA N2,2025-05-14,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,CONAFOVICER,161437,Conafovicer Centro Recreacional Arequipa,24978,AGENTE SEGURIDAD 12 HRS L/D NOCHE,42,"","",REGION SUR,REGION AREQUIPA,2024-02-01,2099-12-31,1,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,85.71,-0.17,0.17,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,77526,CMBV Proyecto Tambomayo,4103,SUPERVISOR SEGURIDAD 12 HRS L/D ROTATIVO,D37,0047,GRUPO BUENAVENTURA,REGION SUR,REGION AREQUIPA,2025-01-01,2099-12-31,1,1.5,1,0.5,0.5,66.67,-0.5,0.5,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,ELECTRO DUNAS S.A.A.,8795,Almacén Chincha Alto Larán,19889,AGENTE SEGURIDAD 24 HRS L/D,95,"","",REGION SUR,REGION ICA,2022-01-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,INCA RAIL S.A.,70948,Inca Rail Boletería Av. Sol 843 Cusco,13430,AGENTE SEGURIDAD 24 HRS L/D,95,"","",REGION SUR,REGION CUZCO,2023-02-16,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,PLUZ ENERGÍA PERÚ S.A.A.,89419,Enel Distrib. Complejo Maranga,20261,SUPERVISOR RESIDENTE 12 HRS L/S DÍA,I94,0124,GRUPO ENEL,ZONA NORTE,ZONA N8,2025-04-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,CBC MARKET S.A.C.,141641,CBC Sala de Ventas Real Plaza Trujillo,23537,AGENTE SEGURIDAD 12 HRS L/S DÍA,48,"","",REGION NORTE,REGION TRUJILLO,2023-07-24,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,CENTENARIO DESARROLLO URBANO S.A.C,111548,Terreno La Chutana San Bartolo,17464,AGENTE SEGURIDAD 12 HRS L/D DÍA,41,0073,GRUPO CENTENARIO,ZONA RETAIL,ZONA RT3,2025-02-15,2099-12-31,1,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,85.71,-0.17,0.17,0.0,FALTA_LEVE
