Cliente_Final,COD UNID,Servicio_Limpio,Personal_Real,Compañía_PA,Nombre_Cliente_PA,Nombre_Unidad_PA,Nombre_Servicio_PA,Clave_Mezclado,Cliente_Final_right,Unidad_Str,Servicio_Limpio_right,Personal_Estimado,Compañía_SV,Nombre_Cliente_SV,Nombre_Unidad_SV,Nombre_Servicio_SV,Zona_SV,Macrozona_SV,Diferencia,Cobertura_Pct,Estado
7409,3420.0,18,5,J&V Resguardo S.A.C.,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,UPC Campus San Isidro,AGENTE SEGURIDAD 08 HRS L/S DÍA,7409_3420_18,7409,3420,18,5.0,J&V Resguardo S.A.C.,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,UPC Campus San Isidro,AGENTE SEGURIDAD 08 HRS L/S DÍA,ZONA C11,ZONA CENTRO,0.0,100.0,EXACTO
,,,0,,,,,115337_12148_002,115337,12148,002,2.3333333333333335,J&V Resguardo S.A.C.,COMPAÑIA COMERCIAL INDUSTRIAL PERUANO SUECA S.A.-C,Cipesa Local Sigma,AGENTE SEGURIDAD 24 HRS DOM Y FER,ZONA N4,ZONA NORTE,,,INDETERMINADO
,,,0,,,,,89419_20281_080,89419,20281,080,2.0,J&V Resguardo S.A.C.,PLUZ ENERGÍA PERÚ S.A.A.,Enel Distrib. Guardianía Repetidora Cerro La Milla,GUARDIAN 24 HRS L/D,ZONA N7,ZONA NORTE,,,INDETERMINADO
154992,22180.0,95,7,J&V Resguardo Selva SAC,TAMSHI S.A.C.,Tamshi Sede Fernando Lores Loreto,AGENTE SEGURIDAD 24 HRS L/D,154992_22180_95,154992,22180,95,6.0,J&V Resguardo Selva S.A.C.,TAMSHI S.A.C.,Tamshi Sede Fernando Lores Loreto,AGENTE SEGURIDAD 24 HRS L/D,REGION IQUITOS,REGION ORIENTE,1.0,116.67,SOBRECARGA
161360,23053.0,95,5,J&V Resguardo S.A.C.,INDUSTRY & LOGISTICS MANAGEMENT SOCIEDAD ANONIMA,ILM Comfer Planta Callao,AGENTE SEGURIDAD 24 HRS L/D,161360_23053_95,161360,23053,95,4.666666666666667,J&V Resguardo S.A.C.,INDUSTRY & LOGISTICS MANAGEMENT SOCIEDAD ANONIMA,ILM Comfer Planta Callao,AGENTE SEGURIDAD 24 HRS L/D,ZONA N1,ZONA NORTE,0.33,107.14,SOBRECARGA
108413,9571.0,512,1,J&V Resguardo S.A.C.,PLUSPETROL PERU CORPORATION S.A.,Pluspetrol Sede Pisco,SUPERVISOR GENERAL 12 HRS L/D DÍA,108413_9571_512,108413,9571,512,1.5,J&V Resguardo S.A.C.,PLUSPETROL PERU CORPORATION S.A.,Pluspetrol Sede Pisco,SUPERVISOR GENERAL 12 HRS L/D DÍA,REGION ICA,REGION SUR,-0.5,66.67,FALTA
7409,3422.0,48,1,J&V Resguardo S.A.C.,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,UPC Estudio 214 San Borja,AGENTE SEGURIDAD 12 HRS L/S DÍA,7409_3422_48,7409,3422,48,1.0,J&V Resguardo S.A.C.,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,UPC Estudio 214 San Borja,AGENTE SEGURIDAD 12 HRS L/S DÍA,ZONA S1,ZONA SUR,0.0,100.0,EXACTO
23418,92.0,165,2,J&V Resguardo S.A.C.,IMPALA TERMINALS PERU S.A.C.,Impala Local Mora,SUPERVISOR SEGURIDAD 24 HRS L/D,23418_92_165,23418,92,165,2.3333333333333335,J&V Resguardo S.A.C.,IMPALA TERMINALS PERU S.A.C.,Impala Local Mora,SUPERVISOR SEGURIDAD 24 HRS L/D,ZONA N9,ZONA NORTE,-0.33,85.71,FALTA
8601,8306.0,113,3,J&V Resguardo S.A.C.,SOCIEDAD MINERA EL BROCAL S.A.A.,SMEB Mina Colquijirca,OPERADOR CENTRO CONTROL 24 HRS L/D,8601_8306_113,8601,8306,113,3.0,J&V Resguardo S.A.C.,SOCIEDAD MINERA EL BROCAL S.A.A.,SMEB Mina Colquijirca,OPERADOR CENTRO CONTROL 24 HRS L/D,REGION PASCO,REGION CENTRO,0.0,100.0,EXACTO
8330,23847.0,42,1,J&V Resguardo S.A.C.,SAN FERNANDO S.A.,San Fernando Plantel ex PV-03 Cerdos Chilca,AGENTE SEGURIDAD 12 HRS L/D NOCHE,8330_23847_42,8330,23847,42,1.1666666666666667,J&V Resguardo S.A.C.,SAN FERNANDO S.A.,San Fernando Plantel ex PV-03 Cerdos Chilca,AGENTE SEGURIDAD 12 HRS L/D NOCHE,ZONA S5,ZONA SUR,-0.17,85.71,FALTA
